ProductID,SupplierID,ProductName,ContainerType,ProductWeight,IngredientType,QualityRating,SKU,QuantityPerUnit,ProductPrice,ProductCost,UnitsInStock,UnitsOnOrder,ReorderLevel,CatalogLastUpdated,DateEnteredInventory
1,1,Almonds Hickory Smoked,Paper Bag,6 oz,GMO-Free,Excellent,PDKLS-2332,12,35,11.62,40,5,45,Nov 13 2021,5/4/2015
2,1,Almonds Roasted and Salted,Plastic Bag,7 oz,Organic,Acceptable,PDKLSD-2344,12,22,7.3,32,0,20,Dec 10 2021,5/4/2011
3,1,Banana Chips,Flexible Pouch,14 oz,GMO-Free,Very Good,PDKLSD-2347,12,27,8.96,25,0,20,Jan 14 2021,12/9/2010
4,1,Berry Cherry,Plastic Bag,10 oz,GMO-Free,Top-Rated,PDK-2589,15,30,9.96,50,0,30,Jan 18 2021,6/27/2017
5,1,California Original Pistachios,Plastic Container,2 lb,GMO-Free,Acceptable,PDK-2347,15,29,9.62,35,0,30,Mar 20 2021,1/19/2014
6,1,Choice Apricots,Paper Bag,7 oz,All-Natural,Very Good,PDKLS-2347,25,32,10.62,22,0,25,Mar 20 2021,3/30/2013
7,1,Cran Raisin Mix,Plastic Bag,8 oz,GMO-Free,Excellent,PDKLS-2347,12,31,10.29,24,0,25,Feb 25 2021,6/30/2010
8,1,Dried Blueberries,Plastic Bag,9 oz,GMO-Free,Very Good,PDKLS-2347,10,28,9.29,28,0,30,Apr 10 2021,4/12/2015
9,1,Fresh Cranberries,Paper Bag,6 oz,Organic,Top-Rated,PDKLS-2347,15,35,11.62,15,10,20,Apr 15 2021,1/16/2016
10,1,Raw Sunflower Seeds,Paper Bag,5 oz,All-Natural,Excellent,PDKLS-2347,25,25,8.3,12,15,20,Apr 17 2021,7/28/2012
11,2,Cappuccino Almonds,Plastic Container,8 oz,All-Natural,Very Good,PDKLS-2347,30,35,11.62,32,0,30,Apr 18 2021,5/21/2012
12,2,Chocolate Covered Apples,Flexible Pouch,9 oz,Organic,Very Good,PDKLS-2347,35,37,12.28,42,0,40,May 19 2021,10/17/2018
13,2,Chocolate  Raspberries,Paper Bag,12 oz,GMO-Free,Very Good,PDKLS-2347,25,29,9.62,39,0,30,May 20 2021,6/9/2013
